CPU CLOCK  2977000000
Overhead,Command,Shared Object,Symbol
35.95% ,x11perf,[kernel.kallsyms] ,[k] __lock_text_start
4.29% ,x11perf,libX11.so.6.3.0 ,[.] XResizeWindow
3.69% ,x11perf,libX11.so.6.3.0 ,[.] _XGetRequest
2.67% ,x11perf,[kernel.kallsyms] ,[k] copy_user_generic_unrolled
2.46% ,x11perf,[kernel.kallsyms] ,[k] finish_task_switch
