CPU CLOCK  2732250000
Overhead,Command,Shared Object,Symbol
27.82% ,x11perf,[kernel.kallsyms] ,[k] __lock_text_start
3.22% ,x11perf,libX11.so.6.3.0 ,[.] _XGetRequest
2.97% ,x11perf,libX11.so.6.3.0 ,[.] XCirculateSubwindows
2.73% ,x11perf,[kernel.kallsyms] ,[k] copy_user_generic_unrolled
2.58% ,x11perf,[kernel.kallsyms] ,[k] finish_task_switch
