CPU CLOCK  1792000000
Overhead,Command,Shared Object,Symbol
44.27% ,x11perf,[kernel.kallsyms] ,[k] __lock_text_start
2.30% ,x11perf,[kernel.kallsyms] ,[k] unix_stream_read_generic
2.02% ,x11perf,libc-2.23.so ,[.] _int_malloc
1.90% ,x11perf,libX11.so.6.3.0 ,[.] _XVIDtoVisual
1.72% ,x11perf,[kernel.kallsyms] ,[k] copy_user_generic_unrolled
