OPTIONS,TASK_CLOCK,CONTEXT_SWITCHES,PAGE_FAULT,TIME,,,,,,,,
create,1845.157433,169725,187,5.418965188,,,,TASK_CLOCK,,,,
destroy,1370.317327,118517,187,4.105518135,,,,,Wayland,X window,,
popup,2038.877535,192198,181,245.4850232,,,,create,1845.157433,1927.195033,,
move,1851.670217,157360,184,255.4090834,,,,destroy,1370.317327,1725.562128,,
resize,2225.433342,146504,181,240.0235858,,,,popup,2038.877535,2015.375438,,
circulate,1778.68737,208623,181,234.9133719,,,,move,1851.670217,2784.298388,,
,,,,,,,,resize,2225.433342,2544.80609,,
,,,,,,,,circulate,1778.68737,3481.008685,,
OPTIONS,TASK_CLOCK,CONTEXT_SWITCHES,PAGE_FAULT,TIME,,,,,,,,
create,1927.195033,264361,187,5.587053225,,,,,,,,
destroy,1725.562128,176963,187,4.970816729,,,,,,,,
popup,2015.375438,233894,183,234.9226288,,,,,,,,
move,2784.298388,236816,183,250.9397907,,,,,,,,
resize,2544.80609,233755,183,228.888161,,,,,,,,
circulate,3481.008685,518722,183,244.4045789,,,,,,,,
,,,,,,,,,,,,
,,Wayland,X window,,,,,,,,,
,create,169725,264361,,,,,,,,,
,destroy,118517,176963,,,,,,,,,
,popup,192198,233894,,,,,,,,,
,move,157360,236816,,,,,,,,,
,resize,146504,233755,,,,,,,,,
,circulate,208623,518722,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Wayland,X window
,,,,,,,,,,create,5.418965188,5.587053225
,,,,,,,,,,destroy,4.105518135,4.970816729
,,,,,,,,,,popup,245.4850232,234.9226288
,,Wayland,X window,,,,,,,move,255.4090834,250.9397907
,create,187,187,,,,,,,resize,240.0235858,228.888161
,destroy,187,187,,,,,,,circulate,234.9133719,244.4045789
,popup,181,183,,,,,,,,,
,move,184,183,,,,,,,,,
,resize,181,183,,,,,,,,,
,circulate,181,183,,,,,,,,,
