OPTIONS,TASK_CLOCK,CONTEXT_SWITCHES,CPU_MIGRATIONS,PAGE_FAULT,TIME
create,1927.195033,264361,11,187,5.587053225
destroy,1725.562128,176963,7,187,4.970816729
popup,2015.375438,233894,7,183,234.922628750
move,2784.298388,236816,15,183,250.939790724
resize,2544.806090,233755,10,183,228.888161035
circulate,3481.008685,518722,10,183,244.404578935
